"filename", "language", "JSON", "XML", "C#", "UnityShader", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\Kevin Iglesias\Human Animations\Scripts\SpineProxy.cs", "C#", 0, 0, 45, 0, 13, 8, 66
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\EnemiesHandler.cs", "C#", 0, 0, 12, 0, 2, 5, 19
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCDemageScript.cs", "C#", 0, 0, 148, 0, 1, 29, 178
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCHealthScript.cs", "C#", 0, 0, 141, 0, 1, 22, 164
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomSkeletonScript.cs", "C#", 0, 0, 211, 0, 2, 33, 246
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", 0, 0, 309, 0, 2, 54, 365
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs", "C#", 0, 0, 19, 0, 2, 6, 27
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\ZombieAnimationScript.cs", "C#", 0, 0, 19, 0, 2, 6, 27
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryController.cs", "C#", 0, 0, 39, 0, 0, 10, 49
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryItem.cs", "C#", 0, 0, 15, 0, 2, 5, 22
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\Slot.cs", "C#", 0, 0, 60, 0, 0, 11, 71
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\SlotManager.cs", "C#", 0, 0, 30, 0, 2, 6, 38
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Optimalization\Optimalization.cs", "C#", 0, 0, 10, 0, 2, 5, 17
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ActionScrip.cs", "C#", 0, 0, 49, 0, 2, 16, 67
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AnimationScript.cs", "C#", 0, 0, 15, 0, 2, 6, 23
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AxeAnimationScript.cs", "C#", 0, 0, 16, 0, 2, 7, 25
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\FPSController.cs", "C#", 0, 0, 268, 0, 12, 40, 320
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Item.cs", "C#", 0, 0, 14, 0, 2, 5, 21
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ItemSwitchScript.cs", "C#", 0, 0, 40, 0, 2, 8, 50
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LookingController.cs", "C#", 0, 0, 109, 0, 1, 23, 133
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\MovementAnimationScript.cs", "C#", 0, 0, 41, 0, 2, 8, 51
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PickaxeAnimationScript.cs", "C#", 0, 0, 15, 0, 2, 6, 23
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RadiusForAttackScript.cs", "C#", 0, 0, 64, 0, 1, 14, 79
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RayScript.cs", "C#", 0, 0, 130, 0, 3, 28, 161
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\StaminaScript.cs", "C#", 0, 0, 65, 0, 2, 12, 79
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\SwordAnimationScript.cs", "C#", 0, 0, 15, 0, 2, 5, 22
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\FPSControllerTest.cs", "C#", 0, 0, 221, 0, 9, 32, 262
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\FloorScript.cs", "C#", 0, 0, 13, 0, 0, 3, 16
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\RayCastScriptTest.cs", "C#", 0, 0, 1416, 0, 3, 245, 1664
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\SnapPoint.cs", "C#", 0, 0, 10, 0, 2, 5, 17
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\StairScript.cs", "C#", 0, 0, 13, 0, 0, 3, 16
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\WallSnapPoints.cs", "C#", 0, 0, 5, 0, 0, 2, 7
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\GetRandomOreType.cs", "C#", 0, 0, 105, 0, 0, 17, 122
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\MineStone.cs", "C#", 0, 0, 255, 0, 3, 39, 297
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\Ore.cs", "C#", 0, 0, 14, 0, 0, 3, 17
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\StoneColliderScript.cs", "C#", 0, 0, 11, 0, 2, 5, 18
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\ColliderScript.cs", "C#", 0, 0, 15, 0, 2, 5, 22
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\CutTree.cs", "C#", 0, 0, 214, 0, 2, 35, 251
"c:\Users\adam1\UnityProjects\idk\Assets\Script\UI\InfoHandler.cs", "C#", 0, 0, 79, 0, 3, 13, 95
"c:\Users\adam1\UnityProjects\idk\Assets\Solodream\VFX_FireballPack\Scripts\FireballHorizontalMovement.cs", "C#", 0, 0, 48, 0, 0, 7, 55
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl", "UnityShader", 0, 0, 0, 130, 18, 31, 179
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 0, 0, 0, 113, 2, 31, 146
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 0, 0, 0, 123, 3, 30, 156
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 0, 0, 0, 113, 2, 31, 146
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 0, 0, 0, 253, 4, 70, 327
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 0, 0, 0, 253, 4, 65, 322
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 0, 0, 0, 198, 10, 51, 259
