"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Animals\Animalec.cs", "C#", 447, 1, 88, 536
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestChecker.cs", "C#", 48, 2, 13, 63
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestController.cs", "C#", 69, 22, 11, 102
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestItemGenerator.cs", "C#", 148, 5, 23, 176
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ItemForChestsHandler.cs", "C#", 115, 2, 5, 122
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableItem.cs", "C#", 134, 9, 34, 177
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableSlot.cs", "C#", 168, 10, 33, 211
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", 401, 21, 83, 505
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", 653, 27, 123, 803
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingStation.cs", "C#", 52, 6, 12, 70
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", 120, 9, 25, 154
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\EnemiesHandler.cs", "C#", 6, 1, 3, 10
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCDemageScript.cs", "C#", 148, 10, 29, 187
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCHealthScript.cs", "C#", 141, 9, 22, 172
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomSkeletonScript.cs", "C#", 409, 20, 71, 500
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", 484, 21, 88, 593
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs", "C#", 13, 3, 3, 19
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\ZombieAnimationScript.cs", "C#", 13, 3, 3, 19
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\InventoryManager.cs", "C#", 177, 7, 29, 213
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\Item.cs", "C#", 19, 2, 6, 27
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\SlotInsideUI.cs", "C#", 213, 15, 41, 269
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryAddHandler.cs", "C#", 23, 4, 10, 37
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryController.cs", "C#", 84, 6, 18, 108
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryItem.cs", "C#", 102, 10, 20, 132
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryListHandler.cs", "C#", 125, 8, 27, 160
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\Slot.cs", "C#", 455, 25, 89, 569
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\SlotManager.cs", "C#", 267, 20, 51, 338
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\WeaponSlot.cs", "C#", 496, 21, 94, 611
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Lightning\RandomRainCycleController.cs", "C#", 160, 14, 35, 209
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\NPCS\NPCText.cs", "C#", 13, 2, 5, 20
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\NPCS\StartCommunication.cs", "C#", 118, 10, 25, 153
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\NPCS\VisualCommunication.cs", "C#", 162, 7, 34, 203
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Optimalization\Optimalization.cs", "C#", 40, 9, 9, 58
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\ActionScrip.cs", "C#", 338, 29, 62, 429
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\AnimationScript.cs", "C#", 8, 2, 4, 14
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\AxeAnimationScript.cs", "C#", 10, 2, 5, 17
