"filename", "language", "JSON", "C#", "comment", "blank", "total"
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Animals\Animalec.cs", "C#", 0, 447, 1, 88, 536
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestChecker.cs", "C#", 0, 48, 2, 13, 63
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestController.cs", "C#", 0, 69, 22, 11, 102
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestItemGenerator.cs", "C#", 0, 148, 5, 23, 176
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ItemForChestsHandler.cs", "C#", 0, 115, 2, 5, 122
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableItem.cs", "C#", 0, 151, 10, 37, 198
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableSlot.cs", "C#", 0, 168, 10, 33, 211
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", 0, 399, 21, 83, 503
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", 0, 860, 39, 170, 1069
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingStation.cs", "C#", 0, 52, 6, 12, 70
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", 0, 120, 9, 25, 154
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\EnemiesHandler.cs", "C#", 0, 7, 1, 3, 11
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCDemageScript.cs", "C#", 0, 139, 10, 28, 177
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCHealthScript.cs", "C#", 0, 114, 9, 19, 142
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomSkeletonScript.cs", "C#", 0, 40, 2, 8, 50
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", 0, 924, 5, 162, 1091
