Date : 2026-04-24 14:39:13
Directory : c:\Users\adamb\Documents\GitHub\idk\Assets\Script
Total : 82 files,  23281 codes, 1012 comments, 4366 blanks, all 28659 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         81 |     23,267 |      1,012 |      4,365 |     28,644 |
| JSON     |          1 |         14 |          0 |          1 |         15 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         82 |     23,281 |      1,012 |      4,366 |     28,659 |
| . (Files)                                                                                |          1 |        590 |          2 |        102 |        694 |
| Animals                                                                                  |          1 |        447 |          1 |         88 |        536 |
| Chest                                                                                    |          4 |        380 |         31 |         52 |        463 |
| Crafting                                                                                 |          5 |      1,630 |         86 |        335 |      2,051 |
| CutScenes                                                                                |          1 |        120 |          9 |         25 |        154 |
| Enemies                                                                                  |          7 |      1,250 |         33 |        226 |      1,509 |
| Inventory                                                                                |          7 |      1,749 |        105 |        353 |      2,207 |
| InventoryRemake                                                                          |          3 |        433 |         25 |         78 |        536 |
| Lightning                                                                                |          1 |        160 |         14 |         35 |        209 |
| NPCS                                                                                     |          3 |        293 |         19 |         64 |        376 |
| Optimalization                                                                           |          1 |         40 |          9 |          9 |         58 |
| Player                                                                                   |         28 |     11,294 |        532 |      2,099 |     13,925 |
| Player (Files)                                                                           |         18 |      6,684 |        359 |      1,257 |      8,300 |
| Player\Gun                                                                               |          1 |      1,175 |         54 |        207 |      1,436 |
| Player\Test                                                                              |          9 |      3,435 |        119 |        635 |      4,189 |
| Projectile                                                                               |          1 |          8 |          2 |          3 |         13 |
| Spawning                                                                                 |          1 |        425 |         20 |         71 |        516 |
| Stone                                                                                    |          4 |      1,160 |         51 |        197 |      1,408 |
| Terrain                                                                                  |          1 |        458 |          1 |         96 |        555 |
| Tree                                                                                     |          6 |      2,162 |         29 |        394 |      2,585 |
| Tree (Files)                                                                             |          5 |      1,600 |         29 |        293 |      1,922 |
| Tree\Rework                                                                              |          1 |        562 |          0 |        101 |        663 |
| UI                                                                                       |          1 |        131 |         11 |         26 |        168 |
| Upgrade                                                                                  |          2 |        144 |          8 |         29 |        181 |
| XP                                                                                       |          4 |        407 |         24 |         84 |        515 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                 | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Animals\Animalec.cs                    | C#       |        447 |          1 |         88 |        536 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestChecker.cs                  | C#       |         48 |          2 |         13 |         63 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestController.cs               | C#       |         69 |         22 |         11 |        102 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestItemGenerator.cs            | C#       |        148 |          5 |         23 |        176 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ItemForChestsHandler.cs          | C#       |        115 |          2 |          5 |        122 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableItem.cs              | C#       |        151 |         10 |         37 |        198 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableSlot.cs              | C#       |        168 |         10 |         33 |        211 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingManager.cs            | C#       |        399 |         21 |         83 |        503 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingProcessHandler.cs     | C#       |        860 |         39 |        170 |      1,069 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingStation.cs            | C#       |         52 |          6 |         12 |         70 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\CutScenes\StartCutSceneScript.cs       | C#       |        120 |          9 |         25 |        154 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\EnemiesHandler.cs              | C#       |          7 |          1 |          3 |         11 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCDemageScript.cs             | C#       |        139 |         10 |         28 |        177 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCHealthScript.cs             | C#       |        114 |          9 |         19 |        142 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomSkeletonScript.cs        | C#       |         40 |          2 |          8 |         50 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomZombieScript.cs          | C#       |        924 |          5 |        162 |      1,091 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs     | C#       |         13 |          3 |          3 |         19 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\ZombieAnimationScript.cs       | C#       |         13 |          3 |          3 |         19 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\InventoryManager.cs    | C#       |        201 |          8 |         31 |        240 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\Item.cs                | C#       |         19 |          2 |          6 |         27 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\SlotInsideUI.cs        | C#       |        213 |         15 |         41 |        269 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryAddHandler.cs       | C#       |         23 |          4 |         10 |         37 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryController.cs       | C#       |        105 |          7 |         23 |        135 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryItem.cs             | C#       |        116 |         11 |         23 |        150 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryListHandler.cs      | C#       |        125 |          8 |         27 |        160 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\Slot.cs                      | C#       |        455 |         25 |         89 |        569 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\SlotManager.cs               | C#       |        267 |         20 |         51 |        338 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\WeaponSlot.cs                | C#       |        658 |         30 |        130 |        818 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Lightning\RandomRainCycleController.cs | C#       |        160 |         14 |         35 |        209 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\NPCS\NPCText.cs                        | C#       |         13 |          2 |          5 |         20 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\NPCS\StartCommunication.cs             | C#       |        118 |         10 |         25 |        153 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\NPCS\VisualCommunication.cs            | C#       |        162 |          7 |         34 |        203 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Optimalization\Optimalization.cs       | C#       |         40 |          9 |          9 |         58 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\ActionScrip.cs                  | C#       |      1,496 |         92 |        300 |      1,888 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\AnimationScript.cs              | C#       |          8 |          2 |          4 |         14 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\AxeAnimationScript.cs           | C#       |         60 |          5 |         14 |         79 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\FPSController.cs                | C#       |        881 |         38 |        135 |      1,054 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Gun\GunItem.cs                  | C#       |      1,175 |         54 |        207 |      1,436 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Item.cs                         | C#       |        149 |          8 |         28 |        185 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\ItemSwitchScript.cs             | C#       |        727 |         40 |        150 |        917 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\LevelingManager.cs              | C#       |         13 |          2 |          5 |         20 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\LookingController.cs            | C#       |        143 |         12 |         30 |        185 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\MovementAnimationScript.cs      | C#       |        469 |         33 |         92 |        594 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\PickaxeAnimationScript.cs       | C#       |          9 |          2 |          4 |         15 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\PlayerRootMotionDriver.cs       | C#       |         96 |          3 |         18 |        117 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\RadiusForAttackScript.cs        | C#       |        523 |         19 |         80 |        622 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\RayScript.cs                    | C#       |      1,364 |         62 |        262 |      1,688 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\StaminaScript.cs                | C#       |        107 |         10 |         21 |        138 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\StarterItems.cs                 | C#       |         58 |          1 |          9 |         68 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Sword.cs                        | C#       |         45 |          5 |         10 |         60 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\SwordAnimationScript.cs         | C#       |         55 |          8 |         12 |         75 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\SwordTrailEffect.cs             | C#       |        481 |         17 |         83 |        581 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\FPSControllerTest.cs       | C#       |        351 |         22 |         68 |        441 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\FloorScript.cs             | C#       |         13 |          2 |          3 |         18 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\RayCastScriptTest.cs       | C#       |      1,852 |         86 |        342 |      2,280 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\SnapPoint.cs               | C#       |          4 |          1 |          3 |          8 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\StairScript.cs             | C#       |         13 |          2 |          3 |         18 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\TestHitting.cs             | C#       |      1,166 |          1 |        204 |      1,371 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\TreeTest.cs                | C#       |         16 |          2 |          5 |         23 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\WallSnapPoints.cs          | C#       |          5 |          1 |          2 |          8 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\XPTest.cs                  | C#       |         15 |          2 |          5 |         22 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Projectile\ProjectileScript.cs         | C#       |          8 |          2 |          3 |         13 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\ResHandler.cs                          | C#       |        590 |          2 |        102 |        694 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Spawning\SpawnNpcsAtNight.cs           | C#       |        425 |         20 |         71 |        516 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Stone\GetRandomOreType.cs              | C#       |        113 |          5 |         19 |        137 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Stone\MineStone.cs                     | C#       |        998 |         40 |        169 |      1,207 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Stone\Ore.cs                           | C#       |         14 |          1 |          3 |         18 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Stone\StoneColliderScript.cs           | C#       |         35 |          5 |          6 |         46 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Terrain\TerrainTreeProxySpawner.cs     | C#       |        458 |          1 |         96 |        555 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\ColliderScript.cs                 | C#       |         21 |          3 |          5 |         29 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\CutTree.cs                        | C#       |        355 |         18 |         63 |        436 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\DetailPickupMarker.cs             | C#       |         45 |          1 |          8 |         54 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\Rework\TreeHandler.cs             | C#       |        562 |          0 |        101 |        663 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\TerrainDetailPickupSpawner.cs     | C#       |        288 |          2 |         50 |        340 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\TerrainTreeToPrefabConverter.cs   | C#       |        891 |          5 |        167 |      1,063 |
