Date : 2026-05-28 20:21:50
Directory : c:\Users\adam1\UnityProjects\idk\Assets\Script
Total : 91 files,  14620 codes, 99 comments, 4329 blanks, all 19048 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         90 |     14,606 |         99 |      4,328 |     19,033 |
| JSON     |          1 |         14 |          0 |          1 |         15 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |         91 |     14,620 |         99 |      4,329 |     19,048 |
| . (Files)                                                                             |          2 |        480 |          2 |        152 |        634 |
| Animals                                                                               |          1 |        447 |          1 |         88 |        536 |
| Chest                                                                                 |          4 |        169 |         15 |         45 |        229 |
| Crafting                                                                              |          5 |        730 |          5 |        255 |        990 |
| CutScenes                                                                             |          1 |         53 |          1 |         17 |         71 |
| Enemies                                                                               |          7 |        637 |          2 |        202 |        841 |
| Inventory                                                                             |          7 |        774 |         11 |        265 |      1,050 |
| InventoryRemake                                                                       |          3 |        229 |          2 |         60 |        291 |
| Lightning                                                                             |          1 |         96 |          4 |         26 |        126 |
| Menu                                                                                  |          3 |      1,616 |          1 |        482 |      2,099 |
| NPCS                                                                                  |          3 |        124 |          2 |         46 |        172 |
| Optimalization                                                                        |          1 |         88 |          7 |         18 |        113 |
| Player                                                                                |         28 |      6,125 |         24 |      1,679 |      7,828 |
| Player (Files)                                                                        |         18 |      3,295 |         14 |        893 |      4,202 |
| Player\Gun                                                                            |          1 |        591 |          2 |        155 |        748 |
| Player\Test                                                                           |          9 |      2,239 |          8 |        631 |      2,878 |
| Projectile                                                                            |          1 |          4 |          0 |          3 |          7 |
| Save                                                                                  |          4 |        259 |          0 |         86 |        345 |
| Spawning                                                                              |          1 |        245 |          6 |         72 |        323 |
| Stone                                                                                 |          4 |        537 |          4 |        152 |        693 |
