Date : 2026-05-29 21:25:29
Directory : c:\Users\adam1\UnityProjects\idk\Assets\Script
Total : 90 files,  -4307 codes, -92 comments, -4220 blanks, all -8619 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         90 |     -4,307 |        -92 |     -4,220 |     -8,619 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |         90 |     -4,307 |        -92 |     -4,220 |     -8,619 |
| . (Files)                                                                             |          2 |       -123 |         -2 |       -150 |       -275 |
| Animals                                                                               |          1 |       -304 |         -1 |        -87 |       -392 |
| Chest                                                                                 |          4 |        -65 |        -15 |        -41 |       -121 |
| Crafting                                                                              |          5 |       -224 |         -5 |       -250 |       -479 |
| CutScenes                                                                             |          1 |        -19 |         -1 |        -16 |        -36 |
| Enemies                                                                               |          7 |       -213 |         -2 |       -195 |       -410 |
| Inventory                                                                             |          7 |       -226 |        -11 |       -258 |       -495 |
| InventoryRemake                                                                       |          3 |        -95 |         -2 |        -57 |       -154 |
| Lightning                                                                             |          1 |        -25 |         -4 |        -25 |        -54 |
| Menu                                                                                  |          3 |       -488 |         -1 |       -479 |       -968 |
| NPCS                                                                                  |          4 |        197 |         -2 |        -42 |        153 |
| Player                                                                                |         28 |     -1,880 |        -24 |     -1,651 |     -3,555 |
| Player (Files)                                                                        |         18 |       -965 |        -14 |       -875 |     -1,854 |
| Player\Gun                                                                            |          1 |       -155 |         -2 |       -154 |       -311 |
| Player\Test                                                                           |          9 |       -760 |         -8 |       -622 |     -1,390 |
| Projectile                                                                            |          1 |         -1 |          0 |         -2 |         -3 |
| Save                                                                                  |          4 |        -83 |          0 |        -82 |       -165 |
| Spawning                                                                              |          1 |        -68 |         -6 |        -71 |       -145 |
| Stone                                                                                 |          4 |       -111 |         -4 |       -148 |       -263 |
| Terrain                                                                               |          2 |       -119 |         -1 |       -158 |       -278 |
| Tree                                                                                  |          6 |       -316 |         -7 |       -415 |       -738 |
| Tree (Files)                                                                          |          5 |       -234 |         -7 |       -294 |       -535 |
| Tree\Rework                                                                           |          1 |        -82 |          0 |       -121 |       -203 |
| UI                                                                                    |          1 |        -39 |         -3 |        -17 |        -59 |
| Upgrade                                                                               |          2 |        -33 |         -1 |        -20 |        -54 |
| XP                                                                                    |          3 |        -72 |          0 |        -56 |       -128 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                              | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Animals\Animalec.cs                    | C#       |       -304 |         -1 |        -87 |       -392 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestChecker.cs                  | C#       |        -17 |          0 |         -9 |        -26 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestController.cs               | C#       |        -17 |        -15 |         -8 |        -40 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestItemGenerator.cs            | C#       |        -23 |          0 |        -17 |        -40 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ItemForChestsHandler.cs          | C#       |         -8 |          0 |         -7 |        -15 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableItem.cs              | C#       |        -23 |         -1 |        -28 |        -52 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableSlot.cs              | C#       |        -28 |          0 |        -21 |        -49 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingManager.cs            | C#       |        -67 |         -1 |        -63 |       -131 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingProcessHandler.cs     | C#       |       -101 |         -2 |       -132 |       -235 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingStation.cs            | C#       |         -5 |         -1 |         -6 |        -12 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\CutScenes\StartCutSceneScript.cs       | C#       |        -19 |         -1 |        -16 |        -36 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\EnemiesHandler.cs              | C#       |         -1 |          0 |         -1 |         -2 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCDemageScript.cs             | C#       |        -18 |         -1 |        -22 |        -41 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCHealthScript.cs             | C#       |        -19 |         -1 |        -11 |        -31 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomSkeletonScript.cs        | C#       |         -4 |          0 |         -5 |         -9 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomZombieScript.cs          | C#       |       -167 |          0 |       -154 |       -321 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs     | C#       |         -2 |          0 |         -1 |         -3 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\ZombieAnimationScript.cs       | C#       |         -2 |          0 |         -1 |         -3 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\InventoryManager.cs    | C#       |        -35 |         -2 |        -24 |        -61 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\Item.cs                | C#       |         -6 |          0 |         -1 |         -7 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\SlotInsideUI.cs        | C#       |        -54 |          0 |        -32 |        -86 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryAddHandler.cs       | C#       |         -2 |         -1 |         -6 |         -9 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryController.cs       | C#       |        -16 |         -1 |        -16 |        -33 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryItem.cs             | C#       |        -26 |         -2 |        -13 |        -41 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryListHandler.cs      | C#       |         -4 |         -1 |        -19 |        -24 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\Slot.cs                      | C#       |        -61 |          0 |        -65 |       -126 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\SlotManager.cs               | C#       |        -43 |         -6 |        -36 |        -85 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\WeaponSlot.cs                | C#       |        -74 |          0 |       -103 |       -177 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Lightning\RandomRainCycleController.cs | C#       |        -25 |         -4 |        -25 |        -54 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\FantasyMenuController.cs          | C#       |       -261 |          0 |       -307 |       -568 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettings.cs                   | C#       |       -202 |         -1 |       -152 |       -355 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettingsBootstrapper.cs       | C#       |        -25 |          0 |        -20 |        -45 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\NPCText.cs                        | C#       |         -1 |          0 |         -1 |         -2 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\NpcTradeInventory.cs              | C#       |        230 |          0 |          1 |        231 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\StartCommunication.cs             | C#       |         -9 |          0 |        -14 |        -23 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\VisualCommunication.cs            | C#       |        -23 |         -2 |        -28 |        -53 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ActionScrip.cs                  | C#       |       -152 |         -1 |       -202 |       -355 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AnimationScript.cs              | C#       |         -2 |          0 |         -2 |         -4 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AxeAnimationScript.cs           | C#       |         -5 |          0 |         -8 |        -13 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\FPSController.cs                | C#       |       -190 |         -3 |        -98 |       -291 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Gun\GunItem.cs                  | C#       |       -155 |         -2 |       -154 |       -311 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Item.cs                         | C#       |        -31 |          0 |        -19 |        -50 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ItemSwitchScript.cs             | C#       |        -98 |          0 |       -114 |       -212 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LevelingManager.cs              | C#       |         -1 |          0 |          0 |         -1 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LookingController.cs            | C#       |        -23 |         -1 |        -18 |        -42 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\MovementAnimationScript.cs      | C#       |        -54 |          0 |        -58 |       -112 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PickaxeAnimationScript.cs       | C#       |         -3 |          0 |         -2 |         -5 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PlayerRootMotionDriver.cs       | C#       |        -10 |         -1 |        -15 |        -26 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RadiusForAttackScript.cs        | C#       |       -100 |          0 |        -63 |       -163 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RayScript.cs                    | C#       |       -127 |         -5 |       -180 |       -312 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\StaminaScript.cs                | C#       |        -30 |          0 |        -13 |        -43 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\StarterItems.cs                 | C#       |         -8 |         -1 |         -8 |        -17 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Sword.cs                        | C#       |        -15 |         -1 |         -6 |        -22 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\SwordAnimationScript.cs         | C#       |         -5 |          0 |         -3 |         -8 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\SwordTrailEffect.cs             | C#       |       -111 |         -1 |        -66 |       -178 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\FPSControllerTest.cs       | C#       |        -94 |         -1 |        -45 |       -140 |
